Name,Global_Sales
Killzone: Shadow Fall,2.69
Madden NFL 11,2.69
Burnout 3: Takedown,2.68
Yokai Watch 2 Shinuchi,2.68
Mortal Kombat,2.67
Mario vs. Donkey Kong: Mini-Land Mayhem!,2.67
Professor Layton and the Last Specter,2.67
Call Of Duty 2: Big Red One,2.67
Medal of Honor,2.67
Fable,2.66
Guitar Hero: World Tour,2.66
FIFA 17,2.65
Hannah Montana,2.65
Tom Clancy's Splinter Cell,2.65
Super Mario Bros.: The Lost Levels,2.65
Need for Speed: Shift,2.65
Star Wars: Shadows of the Empire,2.65
Medal of Honor Heroes,2.65
Final Fantasy XIII-2,2.63
Midnight Club: Street Racing,2.63
Skate 3,2.63
ESPN NFL 2K5,2.62
Halo Wars,2.62
NBA 2K12,2.62
Pac-Man: Adventures in Time,2.62
FIFA Soccer 10,2.62
Medal of Honor,2.61
Harry Potter and the Chamber of Secrets,2.61
Streets of Rage,2.6
God of War Collection,2.6
NBA Live 2005,2.59
Mario Strikers Charged,2.58
FIFA Soccer 09,2.58
Style Savvy,2.58
WWE SmackDown vs. RAW 2007,2.58
LEGO Star Wars: The Complete Saga,2.57
Ratchet & Clank: Up Your Arsenal,2.57
Madden NFL 08,2.57
Monster Hunter Freedom 2,2.57
Ratchet & Clank Future: Tools of Destruction,2.56
Super Mario All-Stars: Limited Edition,2.56
Sonic Adventure 2 Battle,2.56
Dragon Warrior II,2.56
Ghostbusters: The Video Game (DS Version),2.56
Madden NFL 13,2.56
Dragon Age: Origins,2.56
Pokémon Colosseum,2.54
LittleBigPlanet,2.54
Madden NFL 09,2.53
Space Invaders,2.53
Crazy Taxi,2.52
Art Academy,2.52
NBA 2K14,2.52
Perfect Dark,2.52
Skylanders Giants,2.52
Dragon Warrior,2.52
Deca Sports,2.5
PES 2009: Pro Evolution Soccer,2.5
Mario Party 2,2.5
Marvel: Ultimate Alliance,2.5
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,2.49
Mortal Kombat: Deadly Alliance,2.49
Game Party,2.48
Bloodborne,2.48
Tomb Raider: The Last Revelation,2.48
Mario Party 4,2.47
Pure,2.47
Rock Band,2.47
NBA 2K13,2.47
Saints Row: The Third,2.47
Resistance 2,2.46
NBA 2K15,2.45
Final Fantasy V,2.45
Final Fantasy Tactics,2.45
Midnight Club: Los Angeles,2.45
Twisted Metal 2,2.44
The Sims: Bustin' Out,2.43
Riven: The Sequel to Myst,2.43
LEGO Harry Potter: Years 1-4,2.43
Need for Speed (2015),2.43
Call of Duty: Infinite Warfare,2.42
Madden NFL 16,2.42
Ice Hockey,2.42
Sonic Adventure,2.42
Tom Clancy's Rainbow Six: Vegas 2,2.42
uDraw Studio,2.42
Tomb Raider (2013),2.42
Need for Speed Carbon: Own the City,2.42
Dragon Ball Z: Budokai 2,2.41
pro evolution soccer 2011,2.41
ATV Offroad Fury,2.41
Dino Crisis,2.41
Need for Speed: ProStreet,2.41
Halo: Combat Evolved Anniversary,2.4
Tetris Plus,2.4
Pro Wrestling,2.4
Theme Hospital,2.4
Frogger's Adventures: Temple of the Frog,2.39
Monopoly,2.39
Guitar Hero,2.38
Madden NFL 11,2.38
WCW/nWo Revenge,2.38
Yu-Gi-Oh! The Duelists of the Roses,2.38
Dead Island,2.37
Half-Life 2,2.37
The Incredibles,2.37
Madden NFL 08,2.37
Tony Hawk's Underground 2,2.37
Zumba Fitness,2.37
Madden NFL 10,2.37
Kirby's Dream Land 2,2.36
Midnight Club: Los Angeles,2.35
Donkey Kong Land II,2.35
Dragon Warrior Monsters,2.35
Kinect: Disneyland Adventures,2.35
WWE SmackDown vs Raw 2008,2.34
The Legend of Zelda: Majora's Mask 3D,2.34
LEGO Indiana Jones: The Original Adventures,2.34
Resident Evil - Code: Veronica X,2.34
NBA 2K16,2.34
Kinect Sports: Season Two,2.34
My Fitness Coach,2.32
Mario Tennis,2.32
Grand Theft Auto,2.32
James Bond 007: Everything or Nothing,2.31
Need For Speed: High Stakes,2.31
Chrono Trigger,2.31
Guild Wars 2,2.31
Cool Boarders 3,2.31
Paper Mario: Sticker Star,2.3
WarioWare Touched!,2.3
Batman: Arkham Origins,2.29
Tomb Raider II,2.29
Yokai Watch Busters,2.29
LEGO Star Wars: The Complete Saga,2.29
Need for Speed Underground 2,2.28
Pro Evolution Soccer 2010,2.28
Mario Bros.,2.28
FIFA Soccer 09,2.28
LEGO Harry Potter: Years 1-4,2.28
The Sims 3,2.28
Pokemon Ranger: Shadows of Almia,2.28
TOCA Touring Car Championship,2.28
Dead Island,2.27
Kirby: Nightmare in Dream Land,2.27
Wario Land 4,2.26
Sonic's Ultimate Genesis Collection,2.26
Far Cry: Primal,2.26
Battlefield 1,2.25
Onimusha 2: Samurai's Destiny,2.25
Cool Boarders 2,2.25
Paper Mario: The Thousand-Year Door,2.25
Madden NFL 12,2.25
God of War: Ascension,2.25
Guitar Hero III: Legends of Rock,2.24
Sonic Advance,2.24
Super Monkey Ball: Banana Blitz,2.24
Just Dance Kids,2.24
Call of Duty 3,2.24
New Super Luigi U,2.24
Assassin's Creed IV: Black Flag,2.23
Spyro: Season of Ice,2.23
Dissidia: Final Fantasy,2.23
Madden NFL 25,2.23
Teenage Mutant Ninja Turtles II: The Arcade Game,2.23
Dance Dance Revolution X2,2.23
Borderlands 2,2.23
Prince of Persia: The Sands of Time,2.22
Monster Hunter Tri,2.22
LEGO Marvel Super Heroes,2.22
The Legend of Zelda: Link's Awakening DX,2.22
Resident Evil 4,2.22
Tom Clancy's Rainbow Six: Siege,2.21
Star Wars: The Force Unleashed,2.21
Devil May Cry 3: Dante's Awakening Special Edition,2.21
Frogger,2.2
Guitar Hero II,2.2
Forza Motorsport 5,2.2
Rock Band 2,2.2
Pro Yakyuu Family Stadium,2.2
Wario Land 3,2.2
Need for Speed: Hot Pursuit,2.2
LEGO Indiana Jones: The Original Adventures,2.2
BioShock 2,2.2
High School Musical: Makin' the Cut!,2.2
Star Wars: Knights of the Old Republic,2.19
Kirby's Pinball Land,2.19
Donkey Kong Country,2.19
Madden NFL 15,2.19
Pro Evolution Soccer 2012,2.19
Saints Row,2.18
Yu-Gi-Oh: Duel Monsters 4,2.18
ATV Offroad Fury 2,2.18
FIFA 15,2.18
Mario & Luigi: Superstar Saga,2.17
Star Wars: Rogue Squadron,2.17
Tennis,2.17
Tom Clancy's The Division,2.16
Final Fantasy XIII,2.16
The Sims: House Party,2.16
Scribblenauts,2.16
Sonic Unleashed,2.16
Syphon Filter 2,2.15
Pokemon Ranger,2.15
Volleyball,2.15
Skylanders SWAP Force,2.15
Overwatch,2.14
Hitman: Absolution,2.14
SimCity 2000,2.14
R.C. Pro-Am,2.14
Super Mario RPG: Legend of the Seven Stars,2.14
Mahjong,2.14
Demon Attack,2.13
Call of Duty: Roads to Victory,2.13
Dance Dance Revolution Extreme,2.13
Final Fantasy Tactics Advance,2.13
Your Shape featuring Jenny McCarthy,2.12
Project Gotham Racing,2.12
Golf,2.12
NBA 2K12,2.11
Tony Hawk's Pro Skater,2.11
Need for Speed: Hot Pursuit 2,2.11
PES 2009: Pro Evolution Soccer,2.11
Dynasty Warriors 4,2.11
NBA 2K14,2.11
Parasite Eve,2.1
Tetris DS,2.1
Project Gotham Racing (JP weekly sales),2.1
Scooby-Doo! Night of 100 Frights,2.1
Battlefield: Hardline,2.1
Mortal Kombat,2.1
Borderlands,2.09
Devil May Cry 3: Dante's Awakening,2.09
Derby Stallion,2.09
NBA 2K11,2.09
Finding Nemo,2.09
Dying Light,2.09
Yokai Watch,2.09
Dead Rising,2.08
World of Warcraft: Cataclysm,2.08
Tetris Worlds,2.08
Final Fantasy III,2.08
Sim Theme Park,2.08
Mario Party 5,2.08
Rock Band,2.08
Warcraft: Orcs & Humans,2.08
Mario & Luigi: Dream Team,2.08
Portal 2,2.08
Mario Sports Mix,2.08
Need for Speed: Most Wanted 5-1-0,2.07
Spec Ops: Airborne Commando,2.07
The Sims 2: Pets,2.07
Dance Dance Revolution: Hottest Party,2.07
DriveClub,2.07
Yu-Gi-Oh! The Eternal Duelist Soul,2.07
UFC 2009 Undisputed,2.06
Metal Gear Solid: Peace Walker,2.06
Kirby's Epic Yarn,2.06
Wipeout: The Game,2.06
Pokemon Mystery Dungeon: Red/Blue Rescue Team,2.06
The Incredibles,2.06
R4: Ridge Racer Type 4,2.06
Kingdom Hearts: Birth by Sleep,2.06
Tom Clancy's Splinter Cell: Conviction,2.06
SoulCalibur II,2.06
Need for Speed: ProStreet,2.05
Sonic Mega Collection,2.05
Ghostbusters: The Video Game (DS Version),2.05
Madden NFL 15,2.05
Need For Speed: Undercover,2.05
Toy Story 3: The Video Game,2.05
NBA Jam,2.05
SOCOM: U.S. Navy SEALs: Combined Assault,2.04
Peter Jackson's King Kong: The Official Game of the Movie,2.04
Need for Speed: ProStreet,2.04
Donkey Kong Country,2.04
Dance Central 2,2.04
PGR4 - Project Gotham Racing 4,2.04
1080°: TenEighty Snowboarding,2.03
Carnival Games,2.03
NBA Live 2004,2.03
Call of Duty 2,2.03
Rayman Raving Rabbids: TV Party,2.03
Pokémon Mystery Dungeon: Blue Rescue Team,2.02
Dark Souls,2.02
Just Dance 3,2.02
Battlefield 4,2.02
Fire Emblem: Awakening,2.01
Need for Speed: The Run,2.01
Just Dance 2015,2.01
Dragon Age: Inquisition,2.01
Super Street Fighter II,2.0
Dead Space,2.0
Mortal Kombat vs. DC Universe,2.0
TouchMaster,2.0
Tenchu: Stealth Assassins,1.99
Tennis,1.99
Harry Potter and the Chamber of Secrets,1.99
Kingdom Hearts 358/2 Days,1.98
Skate 3,1.98
SimCity,1.98
Harry Potter and the Chamber of Secrets,1.98
Need for Speed Rivals,1.98
Spyro: Enter the Dragonfly,1.97
Devil May Cry 2,1.97
E.T.: The Extra Terrestrial,1.97
Hot Shots Golf: Open Tee,1.96
Minecraft,1.96
Soccer,1.96
